feature_ID,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48
Bacillus altitudinis,1620.162635,423.1305046,110.4475282,642.9483828,469.6444273,583.656241,431.1265152,909.9780815,5160.434752,1246.458222,150.2628034,63.37834614,1516.39073,1532.521413,635.978262,2410.097889,3092.27404,2049.927781,1562.466256,1589.357723,1437.316366,702.6373873,2382.3217,4356,2602.125065,1215.009337,556.7373801,1457.039395,2456.967276,1917.005585,1477.030089,1356.954197,3511.819454,3399.22053,301.1210853,292.7383262,5592.241632,4764.711997,3778.589966,3945.41967,4257.132302,4322.433762,2618.8055,2954.600804,3137.732882,2028.122111,3528.921685,249.5317329
Flavobacterium pectinovorum,0,0,0,0,0,0,0,1498,4126.999998,1174.999541,1251.000131,488,927.0000003,852,530,1857.776357,3094.034276,3445.995653,3839.999921,5909.138464,4830,4261.980345,11153.22159,1707,0,0,0,18,0,10,0,2748.999999,2951.390784,2506.977999,2643,1750,3035.649279,3060.958647,3018.989852,3726.076088,4495.00377,7784.283818,5626.698621,12480.09255,11602.7205,13271.99999,14939.84159,105.4682671
Frigoribacterium faeni,1524.212366,512.2075021,510.9044508,1205.009131,347.4427067,1171.625211,674.1188163,1394.735248,2818.96014,880.3790525,1059.679043,422.1005008,0,0,0,0,0,0,0,0,0,0,0,1328,2213.207893,1596.001752,1852.206841,2287.876712,3371.243405,3657.745068,2557.421756,2177.110552,2616.332206,2723.613633,1937.820677,1231.000012,0,0,0,0,0,0,0,0,0,0,0,77
Methylobacterium goesingense,43,10.61793829,100.0000594,213.927485,116.9999988,250.000057,147.9099972,193.9169072,116.0000149,307.8983105,177.152842,121.9969802,32,62.10586493,36.00553475,0,46.00064746,14.00291945,97.99246667,79.88430994,22.06376901,24,161.9971562,1625,48.99999972,40.60318413,339.0129093,378.9999999,597.5500608,847.8558971,378.2451447,275.7074968,96.99999992,779.881614,263.0364693,497.9972821,216.0045468,277.1905357,548.9589703,14.25342458,53.99997904,33,154.9999996,152.9989548,84.99987817,45.72679686,305.003144,126
Microbacterium proteolyticum,366.9791896,341.9986463,167.0000003,245.015122,103,288.375848,1041.544575,2261.914799,4018.02619,272.9311287,1892.893074,659.9124276,85.00000003,166.0000001,43,22.99573802,21,104,15,15,26,12.99992071,184,1888.000056,646.4683684,998.8689057,486.9983483,517.4460886,711.0519448,1045.011956,3477.307301,3170.616487,3827.254376,847.6242597,3693.819021,2546.985039,515.0000124,622.2365121,381.0337612,0,49,188,38,28,126.9376052,33,308.0000318,124
Nocardioides cavernae,33.00000038,23,177,108.795472,40,45.00000069,41.00030798,52.04379656,51.00011243,246,451.5276976,54.99983287,27.09041899,0,0,101.004262,0,0,27,0,0,106.0000793,106.0111846,1366,77.89129334,62.00009818,374.9881668,175.0020225,291.0547117,146.9880599,110.9993805,74.97638594,63.00269003,649.2469693,763.5236109,191,176.999994,65.00000134,0,150,0,0,55,0,0,228.9999858,116,102
Pseudomonas koreensis,7430.102951,3269.165322,1392.065953,3192.078352,897.9762035,2194.276033,911.7320677,3159.997967,3205.900994,735.9989452,0,0,2023.041279,3135.851199,2486.669307,7464.152113,6860.361334,1175.036808,141.2844265,86.04302649,74.23149203,44.26510839,152.2035417,1546,11629.30697,7547.158453,6541.555269,8518.136223,7056.09252,7007.327693,3432.602519,4874.944074,2598.830333,2047.593928,33.5406508,22.95862671,7671.333735,12045.71449,18404.47367,14517.51134,9433.14127,2698.78318,324.014462,165.9862744,137.0856236,122.9847216,215.1998006,105
Sphingomonas faeni,808.9655706,310.0164698,636.9999505,595.9308174,224,610.9579827,2341.918911,3202.852476,4853.446375,754.9754211,779.9909743,1090.314424,552.9999969,537.0000823,377.0340392,688.0206442,1013.02186,2850.61033,3043.246199,3195.423682,516.9845276,1719.993667,1395.167696,1756,1174.322829,893.7047359,2491.024681,1285.194395,1554.329712,1769.925159,9518.262475,5435.388094,4103.653077,2092.299148,1628.8609,3857.036967,2415.523824,2355.090939,2530.21467,1255.765058,1756.148158,6580.326003,5053.815225,6335.224959,1422.007456,5400.409748,1987.211911,106
